alamat,BAE,industri,sub_industri,email,fax,kegiatan_usaha_utama,kode_emiten,nama_emiten,NPWP,papan_pencatatan,sektor,sub_sektor,tanggal_pencatatan,telepon,website;;;;;;
"Jl Pulo Ayang Raya Blok OR No. 1
Kawasan Industri Pulogadung
Jakarta,PT. Raya Saham Registra,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Investor@astra-agro.co.id,""461-6655, 461-6677, 461-6688"",Agriculture Plantation,AALI,Astra Agro Lestari Tbk,01.334.427.0-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-12-09T00:00:00,461-65-55,http://www.astra-agro.co.id";;;;;;
Sahid Sudirman Centre Lt. 10, Jl. Jend. Sudirman No. 86, Jakarta 10220,PT. Adimitra Jasa Korpora,Media,Penerbitan,corsec@mahakax.com,(021) 573 9210,Media dan Percetakan,ABBA,Mahaka Media Tbk,01.609.052.4-054.000,Pengembangan,Barang Konsumen Non-Primer,Media & Hiburan,2002-04-03T00:00:00,(021) 573 9203,www.mahakamedia.com;;;;;;
Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan ,PT. Raya Saham Registra,Asuransi,Asuransi Umum,contactus@abda.co.id,5140 1698 ,Asuransi Kerugian ,ABDA,Asuransi Bina Dana Arta Tbk,01.362.014.1-054.000 ,Pengembangan,Keuangan,Asuransi,1989-07-06T00:00:00,5140 1688,www.abda.co.id;;;;;;
Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560,PT. Datindo Entrycom,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,corporate.secretary@abm-investama.co.id,021-29976768,berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan ,ABMM,ABM Investama Tbk,02.504.191.4-054.000,Utama,Perindustrian,Perusahaan Holding Multi Sektor,2011-12-06T00:00:00,021-29976767,www.abm-investama.com;;;;;;
"Gedung Kawan Lama Lantai 5. Jl. Puri Kencana No. 1, Kembangan Selatan, Kembangan, Jakarta Barat 11610,PT. EDI Indonesia,Ritel Khusus,Ritel Barang Rumah Tangga,	toto@acehardware.co.id,	021 - 5824022,Perdagangan,ACES,Ace Hardware Indonesia Tbk,	01.721.123.6-054.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2007-11-06T00:00:00,	021 - 5822222,www.acehardware.co.id";;;;;;
ACSET Building, Jalan Majapahit No.26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160,PT. Sinartama Gunita,Konstruksi Bangunan,Konstruksi Bangunan,corporate.secretary@acset.co,(021) 3441413,Jasa Konstruksi untuk bangunan komersial dan infrastruktur,ACST,PT Acset Indonusa Tbk.,01.709.626.4-054.000,Utama,Infrastruktur,Konstruksi Bangunan,2013-06-24T00:00:00,(021) 3511961,www.acset.co;;;;;;
"Kawasan Bekasi International Industrial Estate
Jalan Inti Raya II Blok C.7 No. 5-A Cibatu
Cikarang Selatan - Bekasi,PT. Bima Registra,Makanan Olahan,Produk Susu Olahan,corp.secretary@prochiz.co.id,021 – 8990 8485,Industri pengolahan produk susu dan produk dari susu lainnya,KEJU,PT Mulia Boga Raya Tbk,02.589.590.5-431.00,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2019-11-25T00:00:00,021 – 8990 8468,www.prochiz.com";;;;;;
Graha Mobisel, Lantai 3 Jl. Buncit Raya No.139 Kalibata, Pancoran, Jakarta Selatan 12740,PT. Adimitra Jasa Korpora,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,corsec@kiaceramics.com,(021) 3862374,Bahan Bangunan Keramik,KIAS,Keramika Indonesia Assosiasi Tbk,01.001.688.9-054.000,Pengembangan,Perindustrian,Barang Perindustrian,1994-12-08T00:00:00,(021) 3506227,www.kiaceramics.com;;;;;;
"Jl. Raya Rungkut 15 - 17, 
Surabaya 60293,PT. Raya Saham Registra,Barang Rumah Tangga,Perlengkapan Rumah Tangga,kedawung@sby.centrin.net.id,(031) 8705212,Industri Peralatan Rumah Tangga,KICI,Kedaung Indah Can Tbk,01.133.212.9-054.000,UTAMA,Barang Konsumen Non-Primer,Barang Rumah Tangga,1993-10-28T00:00:00,(031) 8700088,0";;;;;;
"Menara Batavia Lt. 25
Jl. K.H. Mas Mansyur Kav. 126
Jakarta 10220,PT. Datindo Entrycom,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@jababeka.com,5727279,Property dan Real Estate,KIJA,Kawasan Industri Jababeka Tbk,01.067.835.7-054.000,Utama,Properti & Real Estat,Properti & Real Estat,1995-01-10T00:00:00,5727337,www.jababeka.com";;;;;;
"Kino Tower Lt. 17
Jl. Jalur Sutera Boulevard No. 01
Panunggangan Timur, Pinang
Kota Tangerang 15143,PT. Datindo Entrycom,Produk Perawatan Tubuh,Produk Perawatan Tubuh,budi.muljono@kino.co.id,021-80821123,Bergerak dalam bidang usaha industri dan perdagangan,KINO,PT Kino Indonesia Tbk,01.853.207.7-441.000,Utama,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,2015-12-11T00:00:00,021-80821100,www.kino.co.id";;;;;;
"AXA Tower Lt. 42
Jl. Professor Dr. Satrio Kav. 18
Karet Kuningan, Jakarta Selatan 12950,PT. Sinartama Gunita,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,corsec@kioson.com,+62 21 30056256,Perdagangan online (e-commerce) dan teknologi,KIOS,PT Kioson Komersial Indonesia Tbk.,73.560.773.1-029.000,Pengembangan,Teknologi,Perangkat Lunak & Jasa TI,2017-10-05T00:00:00,+62 21 30056255 / 30056284,www.kioson.com";;;;;;
Jl Kramat Raya No. 140. RT.1/RW.1 Kelurahan Kenari, Kecamatan Senen, Jakarta Pusat 10430,PT. Adimitra Jasa Korpora,Logistik & Pengantaran,Logistik & Pengantaran,corpsec8899@gmail.com,31901331,kurir atau jasa pengiriman barang,KJEN,PT Krida Jaringan Nusantara Tbk.,01.877.001.6-023.000,Pengembangan,Transportasi & Logistik,Logistik & Pengantaran,2019-07-01T00:00:00,31901010,www.kjn.id;;;;;;
"Green Ville Maisonette Blok FA / 12A
Jakarta Barat, DKI Jakarta, 11510 - Indonesia,PT. Bima Registra,Barang Kimia,Barang Kimia Dasar,corsec@kusumakemindo.co.id,-,Perdagangan Besar Bahan dan Barang Kimia,KKES,PT Kusuma Kemindo Sentosa Tbk,01.358.034.5-038.000,Pengembangan,Barang Baku,Barang Baku,2022-08-08T00:00:00,""(021) 5653736, 5640988"",https://kks-chemicals.com";;;;;;
"Gedung Bumi Raya Utama Group
Jl. Pembangunan I No. 3
Jakarta Pusat
,PT. EDI Indonesia,Batu Bara,Produksi Batu Bara,nfo@raintbk.com";" investor.relations@raintbk.com,021 - 6337006,Pertambangan batu bara,KKGI,Resource Alam Indonesia Tbk,01.110.655.6-054.000,Utama,Energi,""Minyak, Gas & Batu Bara"",1991-07-01T00:00:00,021-633-30-36,www.raintbk.com";;;;;
"Gedung KALBE Let.Jend Suprato Kav. 4
Jakarta
 ,PT. Adimitra Jasa Korpora,Farmasi,Farmasi,info@kalbe.co.id,42873680,Farmasi,KLBF,Kalbe Farma Tbk,01.001.836.4-092.000,Utama,Kesehatan,Farmasi & Riset Kesehatan,1991-07-30T00:00:00,""42873888";;;;;;
",www.kalbe.co.id
Jl. Raya Driyorejo Km 25, Desa/Kelurahan Driyorejo,";;;;;;
Kec. Driyorejo, Kab. Gresik;;;;;;
"Jawa Timur 61177, Indonesia"",PT. Adimitra Jasa Korpora,Ritel Khusus,Ritel Barang Rumah Tangga,corsec@klinkoindonesia.com,(031) 7507139,""Bergerak di Bidang Produksi dan Perdagangan Produk Alat-Alat Kebersihan Perseroan seperti Serbet, Mop dan Keset yang Ramah Lingkungan."",KLIN,PT Klinko Karya Imaji Tbk,80.590.328.3-642.000,Akselerasi,Barang Konsumen Non-Primer,Perdagangan Ritel,2022-08-09T00:00:00,(031) 7509833,http://www.klinko.id";;;;;;
"Komplek Pergudangan T8 No. 16
Alam Sutera, Serpong Utara
Tangerang Selatan 15325,PT. Adimitra Jasa Korpora,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan,corporate@kmds.co.id,(021) 2904 7378,""Perdagangan Produk Bahan Makanan, Minuman, dan Peralatan Penunjangnya seperti Mesin Kopi, Blender, beserta Suku Cadangnya (Sparepart)"",KMDS,PT Kurniamitra Duta Sentosa Tbk.,02.006.147.9-415.000,Pengembangan,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,2020-09-07T00:00:00,(021) 2235 3388,www.kmds.co.id";;;;;;
"Gedung The East Lantai 21
Jl. DR. Ide Anak Agung Gde Agung Kav. E.3.2 No.1
Jakarta 12950,PT. Adimitra Jasa Korpora,Perhutanan & Kertas,Produk Hutan Lainnya,corporate@kiranamegatara.com,(021) 5794 7999,""Usaha dalam bidang perindustrian, perkebunan, perdagangan, jasa dan konsultan, baik secara langsung maupun tidak langsung melalui anak perusahaan."",KMTR,PT Kirana Megatara Tbk.,01.545.234.5-063.000,Pengembangan,Barang Baku,Barang Baku,2017-06-19T00:00:00,(021) 5794 7988,www.kiranamegatara.com";;;;;;
"Kobexindo Tower, Jl. Pasir Putih Raya Blok E-5-D RT.000 RW.000 Ancol, Pademangan, Jakarta Utara, DKI Jakarta, 14430,PT. Datindo Entrycom,Mesin,Mesin Konstruksi & Kendaraan Berat,corsec@kobexindo.com,""(021) 6470-0900, 6470-0909"",Bidang distribusi dan perdagangan alat berat dan suku cadangnya serta jasa terkait,KOBX,Kobexindo Tractors Tbk,02.198.951.2-054.000,Utama,Perindustrian,Barang Perindustrian,2012-07-05T00:00:00,""(021) 6470-0800, 6470-0808"",www.kobexindo.com";;;;;;
Graha Mobisel, Lantai 3 Jl. Buncit Raya No.139 Kalibata, Pancoran Jakarta Selatan – 12740,PT. Adimitra Jasa Korpora,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Corsec@pt-kokoh.com,350 1767,Bahan Bangunan Keramik,KOIN,Kokoh Inti Arebama Tbk,02.091.402.4-023.000,Pengembangan,Perindustrian,Barang Perindustrian,2008-04-09T00:00:00,350-6227,0;;;;;;
"Gedung Konica Lantai 6, Jl. Gunung Sahari Raya No. 78.  Jakarta Pusat,PT. Sinartama Gunita,Jasa Komersial,Peralatan Kantor,secretary.corp@perdanagroup.co.id,021 - 4216502,""perdagangan umum, pembangunan, perindustrian, pertanian, pengangkutan, percetakan, multimedia melalui perangkat satelit dan perangkat telekomunikasi lainnya, jasa dan industri"",KONI,Perdana Bangun Pusaka Tbk,01.327.073.1-054.000,Pengembangan,Perindustrian,Jasa Perindustrian,1995-08-22T00:00:00,021 - 422 1888,https://www.perdanabangunpusaka.co.id";;;;;;
"Graha Krama Yudha Lantai 2 Jalan Warung Jati Barat No. 43 Jakarta Selatan 12760,PT. Sinartama Gunita,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,corporate.secretary@mitraenergipersada.com ,(021) 794 5837,Energi dan jasa serta penjualan gas bumi melalui anak perusahaan,KOPI,PT Mitra Energi Persada Tbk,01.364.527.0-054.000 ,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2015-05-04T00:00:00,(021) 794 5838,http://new.mitraenergipersada.com/ ";;;;;;
"Gedung Graha Mampang, Lantai 2
Jl. Mampang Prapatan Raya No. 100
Jakarta 12760
,PT. Bima Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,investor.relation@dmspropertindo.com,0,""Bergerak dalam bidang pengembangan properti, perhotelan dan jasa manajemen hotel baik secara langsung maupun tidak langsung melalui Entitas Anak"",KOTA,PT DMS Propertindo Tbk.,03.117.605.0-061.000,Utama,Properti & Real Estat,Properti & Real Estat,2019-07-09T00:00:00,021-7940671,www.dmspropertindo.com";;;;;;
"Graha Corner Stone 
Jl. Rajawali Selatan II No. 1, Kemayoran,
Jakarta Pusat 10720
,PT. Raya Saham Registra,Mesin,Mesin Konstruksi & Kendaraan Berat,0,(021) 64713220,Industri kapal laut,KPAL,PT Steadfast Marine Tbk,02.435.621.4-026.000,Pengembangan,Perindustrian,Barang Perindustrian,2018-06-08T00:00:00,(021) 64713088,www.steadfast-marine.com";;;;;;
"Jl Raya Cipendeuy Dusun III/ No. 414- RT.0001/RW.001, Cipendeuy, Kabupaten Subang- Jawa Barat 41272,PT. Adimitra Jasa Korpora,Produk Perawatan Tubuh,Produk Perawatan Tubuh,corsec@cottonindo.com ,022 - 86066521,""Bergerak di bidang Industri Farmasi untuk Keperluan Manusia, Industri Kapas Kecantikan, dan Kapas Kesehatan"",KPAS,PT Cottonindo Ariesta Tbk.,01.613.275.5-439.000 ,Pengembangan,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,2018-10-05T00:00:00,022-86066517,www.cottonindo.com ";;;;;;
"MNC Tower Lt. 17 Jl. Kebon Sirih No. 17 - 19 Menteng ,Jakarta Pusat,PT BSR Indonesia,Pariwisata & Rekreasi,""Hotel, Resor & Kapal Pesiar"",corporate.secretary@mncland.com,3921227,Property dan Real Estate,KPIG,MNC Land Tbk,01.363.072.0-054.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,2000-03-30T00:00:00,3929828,http://www.mncland.com";;;;;;
"Jl. Rawa Gellam III No. 1 
Pulogadung Industrial Estate 
Jakarta 13930
,PT. Raya Saham Registra,Mesin,Mesin & Komponen Perindustrian,info@grandkartech.com"; corporate.secretary@grandkartech.com,(021) 4603702,Bergerak dalam bidang industri manufaktur dan perakitan mesin industri,KRAH,PT Grand Kartech Tbk,01.358.873.6-007.000,Pengembangan,Perindustrian,Barang Perindustrian,2013-11-08T00:00:00,(021) 4600228,www.grandkartech.com;;;;;
"Jl Industri No. 5 PO Box 14 Cilegon
Banten 42435,PT BSR Indonesia,Logam & Mineral,Baja & Besi,corsec@krakatausteel.com,(021) 5200876,Industri Baja,KRAS,Krakatau Steel (Persero) Tbk,01.000.054.5-051.000,Utama,Barang Baku,Barang Baku,2010-11-10T00:00:00,(021) 5221255,www.krakatausteel.com";;;;;;
Kresna Tower, 6th Floor 18 Parc Place SCBD Jl. Jend Sudirman Kav 52-53 Jakarta 12190 Indonesia,PT. Adimitra Jasa Korpora,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,corsec@kresnainvestments.com,+62 21 515 5280,Perusahaan Holding dan Perdagangan Besar,KREN,PT Kresna Graha Investama Tbk.,01.938.029.4-054.000,Utama,Teknologi,Perangkat Lunak & Jasa TI,2002-06-28T00:00:00,+62 21 515 2889,www.kresnainvestments.com;;;;;;
"Jl. Pattimura Plaza Segi Delapan C 851-852
Sono Kwijenan, Sukomanunggal, Surabaya, Indonesia 60189,PT. Bima Registra,Konstruksi Bangunan,Konstruksi Bangunan,corsec@ptbkpjaya.com,(031)73882177,Bergerak Dalam Bidang Kontruksi Umum dan Kontruksi Baja,KRYA,PT Bangun Karya Perkasa Jaya Tbk,02.586.567.6-604.000,Pengembangan,Infrastruktur,Konstruksi Bangunan,2022-07-25T00:00:00,(031)7344509,www.ptbkpjaya.com";;;;;;
"Jl. Raya Cileungsi Jonggol KM 22,5 RT.006 RW.002
Cileungsi, Bogor, 16820,PT. Bima Registra,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,corsec@aceoldfields.com,(021) 823 0122,Manufaktur Peralatan Pengecatan,KUAS,PT Ace Oldfields Tbk,01.494.968.9-431.000,Pengembangan,Perindustrian,Barang Perindustrian,2021-10-25T00:00:00,(021) 824 98246 / 823 22021,www.aceoldfields.com";;;;;;
Industri Sel 8 Blok EE/7c, Kawasan Industri Jababeka 2, Cikarang, Bekasi,PT. Adimitra Jasa Korpora,Mesin,Mesin & Komponen Perindustrian,lbm@ladangbajamurni.com,0216511595,Bergerak dalam bidang perdagangan dan produksi baja dan produk turunan baja,LABA,PT Ladangbaja Murni Tbk,01.346.018.3-048.000,Pengembangan,Perindustrian,Barang Perindustrian,2021-06-10T00:00:00,0216511595,www.ladangbajamurni.com;;;;;;
"Komplek Park Land Avenue Lantai Dasar - Jl. Raya Serpong No. 89
Kelurahan Cilenggang, Kecamatan Serpong, 
Kota Tangerang Selatan 15310,PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@trimitraland.com,0,""Menjalankan usaha-usaha dibidang pembangunan, bertindak sebagaipengembang, pemborongan pada umumnya (general contractor), pembangunan konstruksi gedung,jembatan, jalan, pemasangan instalasi instalasi, pemasangan jaringan pipa, pengembanganwilayah pemukiman, pembangunan sarana prasarana perumahan, apartemen, danperhotelan, jasa perdagangan properti dan agen properti"",LAND,PT Trimitra Propertindo Tbk.,31.803.161.4-411.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2018-08-23T00:00:00,021 - 5389788,www.trimitraland.com";;;;;;
"Panin Tower Lt. 11 Senayan City, Jl. Asia Afrika Lot 19
Jakarta 10270,PT. Ficomindo Buana Registrar,Utilitas Listrik,Utilitas Listrik,corsec@leyand.com,+62 (21) 72781896,Pembangkit listrik,LAPD,Leyand International Tbk,01.354.497.8-054.000,Pengembangan,Infrastruktur,Utilitas,2001-07-17T00:00:00,+62 (21) 72781895,-";;;;;;
Jl Raya MABES HANKAM, Lot 10, Bambu Apus, Cipayung, Jakarta Timur, JAKARTA 13890,PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,eureka.prima.jakarta@gmail.com,021 - 22094949,Developer and Pembangunan Real Estate,LCGP,PT Eureka Prima Jakarta Tbk.,02.185.792.5-054.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2007-07-13T00:00:00,021 - 22094000,www.eurekaland.com;;;;;;
RUKO PERKANTORAN CEMPAKA MAS. GEDUNG LCK GROUP BLOM M NO 64 JLN. LET. JEND SUPRAPTO. JAKARTA PUSAT,PT. Sinartama Gunita,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,corsec@lckglobal.co.id,(021)21475967,Bergerak dalam bidang perdagangan besar dan penyelenggaraan jaringan telekomunikasi,LCKM,PT LCK Global Kedaton Tbk,03.315.324.8-063.000,Pengembangan,Infrastruktur,Telekomunikasi,2018-01-16T00:00:00,(021) 21475967,www.lckglobal.co.id;;;;;;
"Graha Corner Stone Jl. Rajawali Selatan II No. 1 Jakarta Pusat – 10720  ,PT. Raya Saham Registra,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,corporate@logindo.com  ,021-6471 3220 ,Bergerak dalam bidang pelayaran dengan fokus pada kapal penunjang kegiatan angkutan lepas pantai bagi industri minyak dan gas bumi.,LEAD,PT Logindo Samudramakmur Tbk.,01.738.690.5-054.000,UTAMA,Energi,""Minyak, Gas, & Batu Bara"",2013-12-11T00:00:00,021-6471 3088  ,www.logindo.com  ";;;;;;
"Gedung Menara Karya Lt. 28
Jl. HR Rasuna Said Kav 1-2 X-5 No. 28F, Kuningan Timur, Setiabudi
Jakarta Selatan 12950,PT. Bima Registra,Barang Rumah Tangga,Produsen Furnitur Rumah,corpsec@laflo.co.id,0,Perdagangan Furnitur,LFLO,PT Imago Mulia Persada Tbk,70.858.141.8-036.000,AKSELERASI,Barang Konsumen Non-Primer,Barang Rumah Tangga,2021-04-07T00:00:00,021 7210240,www.imago-int.com";;;;;;
Sinarmas MSIG Tower Lt. 6, Jalan Jend. Sudirman Kav.21, Jakarta Selatan 12920,PT. Sinartama Gunita,Asuransi,Asuransi Jiwa,corsec@sinarmasmsiglife.co.id,021-50608899,Asuransi Jiwa termasuk usaha dengan prinsip Syariah,LIFE,PT Asuransi Jiwa Sinarmas MSIG Tbk.,01.391.150.8-073.000,Utama,Keuangan,Asuransi,2019-07-09T00:00:00,021-50597777,www.sinarmasmsiglife.co.id;;;;;;
"Centennial Tower Lantai 26, Unit D, Jl. Jend. Gatot Subroto Kav. 24-25, Jakarta 12930,PT. Sharestar Indonesia,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel,corporate.secretary@linknet.co.id,-,""Bidang Penyelenggaraan Jaringan Tetap Berbasis Kabel, Penyelenggaraan Jasa Multimedia, Jasa Akses Internet serta Jasa Konsultasi Manajemen Bisnis"",LINK,PT Link Net Tbk.,01.770.114.5-054.000,Utama,Infrastruktur,Telekomunikasi,2014-06-02T00:00:00,021-55777755,www.linknet.co.id";;;;;;
"Jl. Raya Bekasi Km. 24,5 Cakung Jakarta,PT. Sirca Datapro Perdana,Jasa Komersial,Peralatan Kantor,ptlion@lionmetal.co.id,(021) 4600785,Metal and Alied Products,LION,Lion Metal Works Tbk,01.000.538.7-054.000,Utama,Perindustrian,Jasa Perindustrian,1993-08-20T00:00:00,""(021) 4600779, 4600784"",www.lionmetal.co.id";;;;;;
"Plaza Asia Lantai 22, Jl. Jend. Sudirman Kav. 59, Jakarta 12190,PT. Adimitra Transferindo,,,corsec@limas.com,021-5151695,Computer and Services,LMAS,Limas Indonesia Makmur Tbk,01.788.077.4-054.000,PENGEMBANGAN,""TRADE, SERVICES & INVESTMENT"",COMPUTER AND SERVICES,2001-12-28T00:00:00,021-5155168,www.limas.com";;;;;;
"Jl.Letjen Sutoyo No.256, 
Waru
Sidoarjo,PT. Datindo Entrycom,Barang Rumah Tangga,Perlengkapan Rumah Tangga,corp_sec@langgengmakmur.com,(031) 8533588,Industri Peralatan Rumah Tangga,LMPI,Langgeng Makmur Industri Tbk,01.109.428.1-054.000,PENGEMBANGAN,Barang Konsumen Non-Primer,Barang Rumah Tangga,1994-10-17T00:00:00,(031) 8533688,http://www.langgengmakmur.com";;;;;;
Jl. Raya Bekasi Km. 24,5 Cakung Jakarta,PT. Sirca Datapro Perdana,Logam & Mineral,Baja & Besi,lmp@lionmesh.com,(021) 4600785,Metal and Alied Products,LMSH,Lionmesh Prima Tbk,01.060.287.8-054.000,Pengembangan,Barang Baku,Barang Baku,1990-06-04T00:00:00,(021) 4600784,www.lionmesh.com;;;;;;
"Kawasan Easton Commercial Centre, Jl. Gn. Panderman Kav. 05, Cibatu, Cikarang Selatan, Kab. Bekasi, Jawa Barat 17530,PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@lippo-cikarang.com ,""897 2170, 897 2250 "",Properti dan Real Estate,LPCK,Lippo Cikarang Tbk,01.438.224.6-054.000,Utama,Properti & Real Estat,Properti & Real Estat,1997-07-24T00:00:00,897-2488,www.lippo-cikarang.com ";;;;;;
Gedung Lippo Kuningan Unit A & F, Jl. H. R Rasuna Said Kav.B-12, Jakarta Selatan 12940,PT. Sharestar Indonesia,Asuransi,Asuransi Umum,corporate.secretary@lippoinsurance.com,525-7161,Asuransi Kerugian ,LPGI,Lippo General Insurance Tbk,01.363.432.4-054.000,Utama,Keuangan,Asuransi,1997-07-22T00:00:00,525-6161,www.lippoinsurance.com;;;;;;
"Karawaci Office Park Blok M39-50 Lippo Karawaci Tangerang 15139 ,PT. Sharestar Indonesia,Komponen Otomotif,Suku Cadang Otomotif,corporatesecretary@multiprimasejahtera.net rivaldi.ys@multiprimasejahtera.net ,(021) 2300 450 ,Automotive and Components,LPIN,Multi Prima Sejahtera Tbk,01.060.603.6-054.000 ,Pengembangan,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,1990-02-05T00:00:00,""(021) 5589 767, 5589 823 "",http://multiprimasejahtera.net ";;;;;;
"7 Boulevard Palem Raya #22-00
Menara Matahari, Lippo Karawaci Central
Tangerang 15811,PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@lippokarawaci.co.id,2566 9099,Property dan Real Estate,LPKR,Lippo Karawaci Tbk,01.346.574.5-054.000,Utama,Properti & Real Estat,Properti & Real Estat,1996-06-28T00:00:00,2566 9000,www.lippokarawaci.co.id";;;;;;
Graha Lippo, Lantai LG, Jl. Boulevard Diponegoro No. 101 Lippo Village, Tangerang 15810, Banten, Indonesia,PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corporate.secretary@star-pacific.co,(3221) 5577 7222 / 5577 7083,Investasi,LPLI,Star Pacific Tbk,01.367.108.6-054.000 ,Pengembangan,Properti & Real Estat,Properti & Real Estat,1989-10-23T00:00:00,(6221) 5577 7111,www.star-pacific.co.id;;;;;;
Menara Matahari 12th Floor, Jl. Bulevar Palem Raya No.7, Lippo Village, Tangerang, 15811, Indonesia ,PT. Sharestar Indonesia,Department Store,Department Store,corp.comm@matahari.com,-,Perdagangan Ritel,LPPF,Matahari Department Store Tbk,01.317.956.9-054.000 ,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,1989-10-09T00:00:00,+62 21 547 5333 ,www.matahari.com;;;;;;
Ruko Pinangsia, Karawaci Office Park Blok M No.38/39 Lippo Karawaci, Tangerang 15139,PT. Sharestar Indonesia,Perusahaan Holding & Investasi,Perusahaan Investasi,corporate@lenox-pasifik.co.id,021-5515970,Perseroan merupakan Perusahaan yang berusaha dalam bidang jasa yang melakukan aktivitas sebagai perusahaan holding dan aktivitas konsultasi manajemen lainnya.,LPPS,PT Lenox Pasifik Investama Tbk,01.341.962.7-054.000,Pengembangan,Keuangan,Perusahaan Holding & Investasi,1994-03-28T00:00:00,021-5516588,www.lenox-pasifik.co.id;;;;;;
"Jl. K.H. Hasyim Ashari No. 15 C, Jakartab Pusat 10139,PT. Adimitra Transferindo,,,investor-relation@lorena-transport.com,021 6339988,Jasa Angkutan Darat Penumpang Umum,LRNA,PT Eka Sari Lorena Transport Tbk.,02.190.925.4-029.000,PENGEMBANGAN,""INFRASTRUCTURE, UTILITIES  AND TRANSPORTATION"",TRANSPORTATION,2014-04-15T00:00:00,021 6341166,www.lorena-transport.com";;;;;;
"Ariobimo Sentral 12th Floor
Jln. HR. Rasuna Said Blok X-2 Kav. 5
Jakarta 12950,PT. Raya Saham Registra,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,lonsum@londonsumatra.com,021-80657399,Agriculture Plantation,LSIP,PP London Sumatra Indonesia Tbk,01.001.752.3-092.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1996-07-05T00:00:00,021-80657388,www.londonsumatra.com";;;;;;
Graha Indramas, JL AIP II KS Tubun Raya No.77 Jakarta 11410,,Barang Kimia,Barang Kimia Dasar,herman.santoso@lautan-luas.com,-,Distribusi Bahan Kimia,LTLS,PT Lautan Luas Tbk,01.315.900.9-054.000,Utama,Barang Baku,Barang Baku,1997-07-21T00:00:00,(021) 80660777,www.lautan-luas.com;;;;;;
"	Graha Mas Fatmawati Blok A 27-29 Jl. RS. Fatmawati No. 71 Jakarta Selatan - 12150,PT. Adimitra Jasa Korpora,Perangkat Komputer,Perangkat Komputer,info@sentral.co.id,+622172800220,Bergerak dalam bidang Bisnis Solusi Percetakan dan Dokumenserta Penjualan Produk Teknologi Informasi,LUCK,PT Sentral Mitra Informatika Tbk.,02.795.702.6-019.000,Pengembangan,Teknologi,Perangkat Keras & Peralatan Teknologi,2018-11-28T00:00:00,+622172800110,www.sentral.co.id";;;;;;
Gedung SCBD Lot 14, Jalan Jend Sudirman Kav 52 - 53 Kota Administrasi Jakarta Selatan, Provinsi DKI Jakarta,PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,Rumah Makan,corporatesecretary@lucyintheskyjakarta.com,0,Bergerak dalam bidang Perdagangan dan Jasa,LUCY,PT Lima Dua Lima Tiga Tbk,03.188.071.9-012.000,Akselerasi,Barang Konsumen Non-Primer,Jasa Konsumen,2021-05-05T00:00:00,021–5152308,www.lucyintheskyjakarta.com;;;;;;
